Instance	Formulation type	Assets number	Time window Length	Maintenance Types	Solution Status	Solving Time	Solution value
data/Instance_aproximated_241.txt	Langrange	50	5	3	To be defined	0.000757	-1422.5	
data/Instance_aproximated_242.txt	Langrange	50	5	3	To be defined	0.001152	-3021	
data/Instance_aproximated_243.txt	Langrange	50	5	3	To be defined	0.000731	-1131	
data/Instance_aproximated_244.txt	Langrange	50	5	3	To be defined	0.000915	-870.5	
data/Instance_aproximated_245.txt	Langrange	50	5	3	To be defined	0.000724	-2859	
data/Instance_aproximated_246.txt	Langrange	50	5	3	To be defined	0.001033	-3126	
data/Instance_aproximated_247.txt	Langrange	50	5	3	To be defined	0.001437	-977	
data/Instance_aproximated_248.txt	Langrange	50	5	3	To be defined	0.000855	-2467.5	
data/Instance_aproximated_249.txt	Langrange	50	5	3	To be defined	0.001788	-1077	
data/Instance_aproximated_250.txt	Langrange	50	5	3	To be defined	0.001343	-518	
data/Instance_aproximated_251.txt	Langrange	50	5	3	To be defined	0.00107	-652	
data/Instance_aproximated_252.txt	Langrange	50	5	3	To be defined	0.000796	-2695.5	
data/Instance_aproximated_253.txt	Langrange	50	5	3	To be defined	0.000904	514	
data/Instance_aproximated_254.txt	Langrange	50	5	3	To be defined	0.000904	-2103	
data/Instance_aproximated_255.txt	Langrange	50	5	3	To be defined	0.000896	-2663.5	
data/Instance_aproximated_256.txt	Langrange	50	5	3	To be defined	0.001139	-2484.5	
data/Instance_aproximated_257.txt	Langrange	50	5	3	To be defined	0.000809	-1045.5	
data/Instance_aproximated_258.txt	Langrange	50	5	3	To be defined	0.001202	-1197.5	
data/Instance_aproximated_259.txt	Langrange	50	5	3	To be defined	0.001276	-1601	
data/Instance_aproximated_260.txt	Langrange	50	5	3	To be defined	0.00122	-519.5	
data/Instance_aproximated_261.txt	Langrange	50	5	3	To be defined	0.001083	-271	
data/Instance_aproximated_262.txt	Langrange	50	5	3	To be defined	0.001348	-1571	
data/Instance_aproximated_263.txt	Langrange	50	5	3	To be defined	0.001012	-3348.5	
data/Instance_aproximated_264.txt	Langrange	50	5	3	To be defined	0.00104	-1444	
data/Instance_aproximated_265.txt	Langrange	50	5	3	To be defined	0.000635	-1814	
data/Instance_aproximated_266.txt	Langrange	50	5	3	To be defined	0.000617	-1961	
data/Instance_aproximated_267.txt	Langrange	50	5	3	To be defined	0.00091	-2880	
data/Instance_aproximated_268.txt	Langrange	50	5	3	To be defined	0.00105	-1159.5	
data/Instance_aproximated_269.txt	Langrange	50	5	3	To be defined	0.000452	-903.5	
data/Instance_aproximated_270.txt	Langrange	50	5	3	To be defined	0.000931	-1066	
data/Instance_aproximated_271.txt	Langrange	50	5	3	To be defined	0.000923	-1317	
data/Instance_aproximated_272.txt	Langrange	50	5	3	To be defined	0.002305	-1811	
data/Instance_aproximated_273.txt	Langrange	50	5	3	To be defined	0.00105	-2093.5	
data/Instance_aproximated_274.txt	Langrange	50	5	3	To be defined	0.000899	-1292	
data/Instance_aproximated_275.txt	Langrange	50	5	3	To be defined	0.00074	-2236	
data/Instance_aproximated_276.txt	Langrange	50	5	3	To be defined	0.000496	-262.5	
data/Instance_aproximated_277.txt	Langrange	50	5	3	To be defined	0.000602	-466	
data/Instance_aproximated_278.txt	Langrange	50	5	3	To be defined	0.000821	79	
data/Instance_aproximated_279.txt	Langrange	50	5	3	To be defined	0.000663	-2147	
data/Instance_aproximated_280.txt	Langrange	50	5	3	To be defined	0.001122	-2498	
data/Instance_aproximated_281.txt	Langrange	50	5	3	To be defined	0.001379	-1189.5	
data/Instance_aproximated_282.txt	Langrange	50	5	3	To be defined	0.000868	-2239.5	
data/Instance_aproximated_283.txt	Langrange	50	5	3	To be defined	0.000836	-1561	
data/Instance_aproximated_284.txt	Langrange	50	5	3	To be defined	0.001092	-2101	
data/Instance_aproximated_285.txt	Langrange	50	5	3	To be defined	0.000678	-872	
data/Instance_aproximated_286.txt	Langrange	50	5	3	To be defined	0.001099	-2609.5	
data/Instance_aproximated_287.txt	Langrange	50	5	3	To be defined	0.001202	-2136.5	
data/Instance_aproximated_288.txt	Langrange	50	5	3	To be defined	0.00079	-1630	
data/Instance_aproximated_289.txt	Langrange	50	5	3	To be defined	0.001294	419	
